Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,,HOA Amenities,HOA Exist YN,HOA Fee,Garage Spaces,HOA Phone,No Of Floors,List Price,Listing Date,Acres,Lot Size,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,State,Status,Status Change Timestamp,Style,View,Year Built,Zip Code,Unit Number,Owner Name,Buyer's Financing,Property Tax,No Of Stories
301 Main Street,2,0,2,1317,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Other, Pool, Sauna",TRUE,1306,0,(415) 369-9888,,2000000,12/01/2026 12:00:00 AM,1.75,76210,0,SF425059033,12/01/2026 12:00:00 AM,2000000,3745-298,Residential,-122.391197,37.789597,California,Active,12/01/2026 12:00:00 AM,Contemporary,"Bay, City, Bay Bridge, Water, City Lights",2008,94105,24B,,,,0
1951 Golden Gate Ave ,2,0,3,1500,San Francisco,San Francisco,,,1,,Other,TRUE,400,1,(000) 000-0000,,1995000,08/18/2026 12:00:00 AM,0.09,4188,0,CC41145384,,1995000,1158-049,Residential,-122.442789,37.777874,California,Active,08/18/2026 12:00:00 AM,Traditional,San Francisco,1908,94115,,,,,2
1 Steuart Lane,1,1,1,1133,San Francisco,San Francisco,147,09/02/2026 12:00:00 AM,0,,,TRUE,2917,0,,,1995000,03/25/2026 12:00:00 AM,0.469,20415,0,SF426114614,03/25/2026 12:00:00 AM,1995000,3741-053,Residential,-122.391446,37.791659,California,Active,03/25/2026 12:00:00 AM,Luxury,,2021,94123,302,,,,0
219 Brannan Street,2,0,2,1224,San Francisco,San Francisco,188,01/24/2027 12:00:00 AM,0,,,TRUE,1771,0,,,1980000,02/12/2026 12:00:00 AM,1.905,82966,0,SF426103778,02/12/2026 12:00:00 AM,2150000,3789-638,Residential,-122.390364,37.782627,California,Active,02/12/2026 12:00:00 AM,,,2000,94107,16K,,,,0
310 Carolina Street,2,1,2,1242,San Francisco,San Francisco,,11/01/2026 12:00:00 AM,0,,,TRUE,711,0,,,1950000,10/01/2026 12:00:00 AM,0.292,12734,0,SF426153895,10/01/2026 12:00:00 AM,1950000,3980-112,Residential,-122.400814,37.764775,California,Active,10/01/2026 12:00:00 AM,,,2015,94107,404,,,,0
235 Berry Street,3,0,3,1910,San Francisco,San Francisco,5,12/31/2026 12:00:00 AM,0,,,TRUE,1144,0,,,1950000,08/14/2026 12:00:00 AM,0.986,42959,0,SF426125661,08/14/2026 12:00:00 AM,1950000,8708-125,Residential,-122.394176,37.774766,California,Active,08/14/2026 12:00:00 AM,,,2007,94158,115,,,,2
690 Market Street,2,1,2,1865,San Francisco,San Francisco,176,08/31/2026 12:00:00 AM,1,,"Club House, Gym/ Exercise Facility, Recreation Room, Roof Deck",TRUE,3955,0,,,1949000,02/24/2026 12:00:00 AM,0.261,11357,0,SF426099780,02/24/2026 12:00:00 AM,2200000,0311-119,Residential,-122.403065,37.788229,California,Active,02/24/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, City, San Francisco, Water, City Lights, Downtown",2007,94104,2404,,,,0
301 Mission Street,2,0,2,1680,San Francisco,San Francisco,166,10/31/2026 12:00:00 AM,0,,,TRUE,3666,0,,,1900000,03/06/2026 12:00:00 AM,1.163,50667,0,SF426109470,03/06/2026 12:00:00 AM,1900000,3719-330,Residential,-122.395932,37.790488,California,Active,03/06/2026 12:00:00 AM,,,2009,94105,46E,,,,0
1829 15th Street,3,0,3,1543,San Francisco,San Francisco,2,02/16/2027 12:00:00 AM,1,,,TRUE,941,1,,,1899000,08/17/2026 12:00:00 AM,,,0,ML82057920,08/17/2026 1:14:08 AM,1899000,3556-258,Residential,-122.424866,37.766031,California,Active,08/17/2026 1:14:08 AM,,"City Lights, Hills, Neighborhood",2000,94103,4,Mita Parikh No 1,,,1
3044 Franklin Street,2,0,3,1650,San Francisco,San Francisco,19,10/31/2026 12:00:00 AM,1,,,TRUE,870,0,,,1895000,07/31/2026 12:00:00 AM,0.122,5328,0,SF426121180,07/31/2026 12:00:00 AM,1895000,0479-019,Residential,-122.426198,37.802727,California,Active,07/31/2026 12:00:00 AM,Contemporary,,1975,94123,202,,,,0
1 Bristol Court,2,1,2,1406,San Francisco,San Francisco,71,10/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck, Dog Park, , Trail(s)",TRUE,1848,0,,,1890000,06/09/2026 12:00:00 AM,,0,0,SF426137761,06/09/2026 12:00:00 AM,1890000,8954-085,Residential,-122.365285,37.811408,California,Active,06/09/2026 12:00:00 AM,"Contemporary, Modern/High Tech","Bay, Bridge(s), Hills, Mountains, Panoramic, Water, City Lights",0,94130,206,,,,6
989 Sutter Street,3,1,4,2125,San Francisco,San Francisco,,08/10/2027 12:00:00 AM,2,,Security Gate(s),TRUE,647,1,,,1888000,09/10/2026 12:00:00 AM,0.05,2188,0,SF426151712,09/10/2026 12:00:00 AM,1888000,0300-234,Residential,-122.41653,37.788018,California,Active,09/10/2026 12:00:00 AM,Modern/High Tech,City,2013,94109,2,,,,0
734 Masonic Avenue,1,0,2,1482,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,1,,,TRUE,450,0,,,1850000,10/05/2026 12:00:00 AM,0.049,2121,0,SF426153825,10/05/2026 12:00:00 AM,1850000,1197-036,Residential,-122.445904,37.774298,California,Active,10/05/2026 12:00:00 AM,Edwardian,Garden/Greenbelt,1912,94117,,,,,0
454 Collingwood Street,1,0,1,1004,San Francisco,San Francisco,,05/31/2027 12:00:00 AM,0,,,TRUE,,1,,,1850000,05/30/2027 12:00:00 AM,0.071,3075,0,SF426124739,05/30/2027 12:00:00 AM,1850000,2769-052,Residential,-122.435809,37.755136,California,Active,05/30/2027 12:00:00 AM,Luxury,"Other, Twin Peaks",1947,94114,,,,,0
401 Harrison Street,2,0,2,1311,San Francisco,San Francisco,210,08/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Sauna/ Spa/ Hot Tub",TRUE,1888,0,,,1799000,01/21/2026 12:00:00 AM,1.286,56023,0,SF426096610,01/21/2026 12:00:00 AM,1875000,3765-522,Residential,-122.392219,37.786546,California,Active,01/21/2026 12:00:00 AM,Luxury,"Panoramic, Twin Peaks, City Lights, Downtown",2014,94105,18B,,,,0
435 China Basin Boulevard,2,0,2,1429,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Pool, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1438,0,,,1798000,09/09/2026 12:00:00 AM,2.821,122891,0,SF426155105,09/09/2026 12:00:00 AM,1798000,8720-202,Residential,-122.388573,37.771886,California,Active,09/09/2026 12:00:00 AM,Luxury,"Bay, Mountains, Other, Park, Twin Peaks, Water",2012,94158,341,,,,0
325 Berry Street,2,0,2,1477,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,1174,1,(415) 742-9788,,1798000,09/15/2026 12:00:00 AM,0.956,41654,0,SF426153951,09/15/2026 12:00:00 AM,1798000,8707-021,Residential,-122.395666,37.77337,California,Active,09/15/2026 12:00:00 AM,Contemporary,Water,2007,94158,114,,,,0
27 Ford Street,2,0,2,1423,San Francisco,San Francisco,,10/31/2026 12:00:00 AM,1,,,TRUE,,1,,,1795000,08/19/2026 12:00:00 AM,0.065,2848,0,SF426155638,08/19/2026 12:00:00 AM,1795000,3581-115,Residential,-122.431339,37.761825,California,Active,08/19/2026 12:00:00 AM,Edwardian,"Hills, Other, Twin Peaks",1908,94114,,,,,3
690 Market Street,2,1,2,2090,San Francisco,San Francisco,49,06/30/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Recreation Room",TRUE,3955,0,(415) 781-9000,,1795000,07/01/2026 12:00:00 AM,0.261,11358,0,SF426146382,07/01/2026 12:00:00 AM,1795000,0311-056,Residential,-122.403065,37.788229,California,Active,07/01/2026 12:00:00 AM,,"City, San Francisco, City Lights, Downtown",2007,94104,905,,,,0
300 Channel Street,3,0,3,1780,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,1183,0,,,1749000,09/29/2026 12:00:00 AM,4.053,176545,0,SF426147746,09/29/2026 12:00:00 AM,1749000,8710-002,Residential,-122.395268,37.771817,California,Active,09/29/2026 12:00:00 AM,,,0,94158,14,,,,0
718 Long Bridge Street,2,0,2,1353,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,"Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Barbecue Area, Playground, Pool, Recreation Room, Roof Deck, Dog Park, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1664,0,,,1748000,09/30/2026 12:00:00 AM,1.948,84866,0,SF426155414,09/30/2026 12:00:00 AM,1748000,8710-106,Residential,-122.394445,37.771387,California,Active,09/30/2026 12:00:00 AM,"Luxury, Modern/High Tech","City, San Francisco, Twin Peaks, City Lights",2016,94158,506,,,,0
235 Berry Street,2,0,2,1370,San Francisco,San Francisco,6,11/13/2026 12:00:00 AM,,,,TRUE,1083,0,,,1699000,08/13/2026 12:00:00 AM,,,0,ML82057349,08/13/2026 12:00:00 AM,1699000,8708-188,Residential,-122.394089,37.774703,California,Active,08/11/2026 4:21:17 PM,,,2007,94158,607,,,,
1000 3rd Street,2,0,2,1218,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1081,0,,,1698000,08/21/2026 12:00:00 AM,1.056,46014,0,SF426142824,08/21/2026 12:00:00 AM,1698000,8715-183,Residential,-122.390316,37.775573,California,Active,08/21/2026 12:00:00 AM,Luxury,"Twin Peaks, Water, Garden/Greenbelt",2018,94158,1305,,,,0
650 2nd Street,2,0,1,1794,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,927,0,,,1695000,09/22/2026 12:00:00 AM,0.235,10238,0,SF426154820,09/22/2026 12:00:00 AM,1695000,3788-062,Residential,-122.391551,37.780927,California,Active,09/22/2026 12:00:00 AM,,,1996,94107,404,,,,0
199 Chestnut Street,1,0,1,1014,San Francisco,San Francisco,,11/20/2026 12:00:00 AM,1,,,TRUE,850,0,,,1695000,11/18/2026 12:00:00 AM,0.063,2750,0,SF426108123,11/18/2026 12:00:00 AM,1695000,0060-019,Residential,-122.406617,37.804411,California,Active,11/18/2026 12:00:00 AM,,,1930,94133,4,,,,0
301 Mission Street,2,0,2,1517,San Francisco,San Francisco,168,08/26/2026 12:00:00 AM,0,,,TRUE,3790,0,,,1695000,03/04/2026 12:00:00 AM,1.163,50667,0,SF426108795,03/04/2026 12:00:00 AM,1695000,3719-290,Residential,-122.395932,37.790488,California,Active,03/04/2026 12:00:00 AM,,,2009,94105,39A,,,,0
354 Sanchez Street,2,0,2,1232,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,1,,"Garden/ Greenbelt/ Trails, Security Gate(s)",TRUE,400,0,,,1655000,10/15/2026 12:00:00 AM,0.057,2500,0,SF426154108,10/15/2026 12:00:00 AM,1655000,3564-127,Residential,-122.431131,37.763455,California,Active,10/15/2026 12:00:00 AM,"Luxury, Victorian",,1900,94114,,,,,1
201 Folsom Street,2,0,2,1191,San Francisco,San Francisco,1,12/31/2026 12:00:00 AM,,,"Barbecue Area, Club House, Pool, Concierge, Door Person, Elevator(s), Exercise Course, Gym/ Exercise Facility, Playground, Recreation Room, Roof Deck, Sauna/ Spa/ Hot Tub, Trash Chute",TRUE,1425,1,,,1650000,08/18/2026 12:00:00 AM,,,0,ML82058091,08/18/2026 12:37:41 PM,1650000,3746414,Residential,-122.391838,37.788732,California,Active,08/18/2026 12:37:41 PM,,,2016,94103,4F,,,,
501 Beale Street,2,0,2,1161,San Francisco,San Francisco,29,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Pool",TRUE,1532,0,,,1650000,07/21/2026 12:00:00 AM,0.519,22594,0,SF426148428,07/21/2026 12:00:00 AM,1650000,3771-092,Residential,-122.389116,37.786253,California,Active,07/21/2026 12:00:00 AM,Luxury,,2006,94105,15H,,,,0
1000 3rd Street,2,0,2,0,San Francisco,San Francisco,110,08/31/2026 12:00:00 AM,0,,"Club House, Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Pool, Recreation Room, Sauna/ Spa/ Hot Tub",TRUE,1008,0,,,1650000,05/01/2026 12:00:00 AM,1.056,46014,0,SF426125689,05/01/2026 12:00:00 AM,1650000,8715-175,Residential,-122.390316,37.775573,California,Active,05/01/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay Bridge, Panoramic, Water, Downtown",2018,94158,1204,,,,0
1177 California Street,2,0,2,1660,San Francisco,San Francisco,203,09/23/2026 12:00:00 AM,0,,,TRUE,2848,1,,,1650000,01/28/2026 12:00:00 AM,0.727,31662,0,SF426098370,01/28/2026 12:00:00 AM,1750000,0253-A057,Residential,-122.41362,37.791326,California,Active,01/28/2026 12:00:00 AM,Luxury,,1978,94108,1210,,,,0
1880 Steiner Street,2,0,2,1569,San Francisco,San Francisco,,12/15/2026 12:00:00 AM,0,,,TRUE,1205,0,,,1649000,09/01/2026 12:00:00 AM,0.407,17706,0,SF426155539,09/01/2026 12:00:00 AM,1649000,0678-155,Residential,-122.434603,37.78671,California,Active,09/01/2026 12:00:00 AM,,,1999,94115,404,,,,0
708 Long Bridge Street,2,0,2,1237,San Francisco,San Francisco,1,02/28/2027 12:00:00 AM,0,,"Gym/ Exercise Facility, Pool, Sauna/ Spa/ Hot Tub",TRUE,1696,1,(415) 552-5632,,1648000,08/18/2026 12:00:00 AM,1.948,84866,0,SF426155475,08/18/2026 12:00:00 AM,1648000,8710-183,Residential,-122.393767,37.771939,California,Active,08/18/2026 12:00:00 AM,Flat/Low Pitch,City,2016,94158,908,,,,0
200 Brannan Street,2,0,2,1500,San Francisco,San Francisco,,01/31/2027 12:00:00 AM,0,,"Garden/ Greenbelt/ Trails, Gym/ Exercise Facility",TRUE,1121,0,,,1600000,09/04/2026 12:00:00 AM,1.674,72899,0,SF426152008,09/04/2026 12:00:00 AM,1600000,3774-292,Residential,-122.390316,37.783618,California,Active,09/04/2026 12:00:00 AM,Luxury,Garden/Greenbelt,2004,94107,205,,,,0
44 San Antonio Place,1,1,2,1099,San Francisco,San Francisco,26,11/24/2026 12:00:00 AM,0,,Security Gate(s),TRUE,428,1,,,1595000,07/24/2026 12:00:00 AM,0.039,1716,0,SF426143077,07/24/2026 12:00:00 AM,1595000,0132-001B,Residential,-122.406232,37.799494,California,Active,07/24/2026 12:00:00 AM,"Contemporary, Luxury, Other","Bay, Golden Gate Bridge, Hills, City, Mt. Tamalpais, San Francisco, City Lights",1955,94133,,,,,0
101 Lombard Street,2,0,2,1532,San Francisco,San Francisco,0,11/27/2026 12:00:00 AM,0,,"Club House, Barbecue Area, Pool",TRUE,1784,0,(415) 956-8101,,1550000,08/19/2026 12:00:00 AM,2.604,113438,0,SF426155538,08/19/2026 12:00:00 AM,1550000,0080-063,Residential,-122.404087,37.803828,California,Active,08/19/2026 12:00:00 AM,"Contemporary, Luxury",,1983,94111,303W,,,,0
39 San Carlos Street,2,0,3,1150,San Francisco,San Francisco,12,12/31/2026 12:00:00 AM,1,,,TRUE,559,1,,,1550000,08/07/2026 12:00:00 AM,0.046,2000,0,SF426152552,08/07/2026 12:00:00 AM,1550000,3576-168,Residential,-122.419995,37.762161,California,Active,08/07/2026 12:00:00 AM,"Luxury, Modern/High Tech, Flat/Low Pitch","City, Other, Panoramic, San Francisco, City Lights, Downtown",2015,94110,401,,,,4
1720 Clay Street,2,1,2,1675,San Francisco,San Francisco,,10/25/2026 12:00:00 AM,1,,,TRUE,989,0,,,1550000,09/30/2026 12:00:00 AM,,0,0,SF426142252,09/30/2026 12:00:00 AM,1550000,0619-031,Residential,-122.4216,37.792528,California,Active,09/30/2026 12:00:00 AM,,,2000,94109,14,,,,0
181 Fremont Street,1,0,1,580,San Francisco,San Francisco,68,10/31/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility",TRUE,3618,0,(415) 282-0888,,1550000,06/12/2026 12:00:00 AM,0.352,15312,0,SF426134788,06/12/2026 12:00:00 AM,1550000,3719-462,Residential,-122.395453,37.789653,California,Active,06/12/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Other, San Francisco, Twin Peaks, Water, City Lights, Downtown",2018,94105,54-L,,,,0
1 Bristol Court,2,0,2,1411,San Francisco,San Francisco,84,08/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck, Dog Park, , Trail(s)",TRUE,1848,0,,,1550000,05/27/2026 12:00:00 AM,,0,0,SF426134326,05/27/2026 12:00:00 AM,1550000,8954-175,Residential,-122.365285,37.811408,California,Active,05/27/2026 12:00:00 AM,"Contemporary, Modern/High Tech","Bay, Hills, Mountains, Panoramic, Water, Forest/Woods",0,94130,521,,,,6
301 Main Street,2,0,2,1307,San Francisco,San Francisco,27,12/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Pool, Recreation Room, Sauna",TRUE,1411,0,(415) 369-9888,,1549000,07/23/2026 12:00:00 AM,1.75,76210,0,SF426149131,07/23/2026 12:00:00 AM,1549000,3745-198,Residential,-122.391375,37.789133,California,Active,07/23/2026 12:00:00 AM,Contemporary,"City, City Lights, Downtown",2008,94105,10F,,,,0
611 Washington Street,2,0,1,1685,San Francisco,San Francisco,55,10/31/2026 12:00:00 AM,0,,,TRUE,4760,0,(415) 788-2638,,1549000,06/25/2026 12:00:00 AM,0.407,17722,0,SF426142221,06/25/2026 12:00:00 AM,1549000,0208-048,Residential,-122.403607,37.795235,California,Active,06/25/2026 12:00:00 AM,"Luxury, Other","Bay, Bridge(s), City, Bay Bridge, San Francisco, City Lights, Downtown",1984,94111,2305,,,,0
1775 Broadway Street,2,0,2,1105,San Francisco,San Francisco,5,01/31/2027 12:00:00 AM,1,,,TRUE,1033,0,,,1525000,08/14/2026 12:00:00 AM,0.242,10542,0,SF426151695,08/14/2026 12:00:00 AM,1525000,0576-065,Residential,-122.426184,37.795111,California,Active,08/14/2026 12:00:00 AM,,,1925,94109,7,,,,0
12 Beaver St ,2,0,4,1626,San Francisco,San Francisco,133,,2,,,TRUE,400,0,(925) 255-5013,,1505000,04/09/2026 12:00:00 AM,0,0,0,EB41130302,,1505000,3561-103,Residential,-122.433817,37.765155,California,Active,04/16/2026 12:00:00 AM,Victorian,,1900,94114,,,,,1
301 Mission Street,2,0,3,1601,San Francisco,San Francisco,49,12/31/2026 12:00:00 AM,0,,,TRUE,3951,0,,,1500000,07/01/2026 12:00:00 AM,1.163,50667,0,SF426128511,07/01/2026 12:00:00 AM,1500000,3719-247,Residential,-122.395932,37.790488,California,Active,07/01/2026 12:00:00 AM,,,2009,94105,31F,,,,0
1340 Clay Street,2,0,2,1705,San Francisco,San Francisco,62,12/31/2026 12:00:00 AM,1,,,TRUE,4099,0,,,1499000,06/18/2026 12:00:00 AM,0.303,13212,0,SF426139490,06/18/2026 12:00:00 AM,1499000,0215-043,Residential,-122.415373,37.79335,California,Active,06/18/2026 12:00:00 AM,"Contemporary, Luxury",,1991,94109,603,,,,0
400 Beale Street,2,0,2,1223,San Francisco,San Francisco,42,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Pool, Roof Deck, Sauna/ Spa/ Hot Tub",TRUE,1421,0,(415) 348-6095,,1499000,07/08/2026 12:00:00 AM,0.633,27581,0,SF426136848,07/08/2026 12:00:00 AM,1499000,3766-245,Residential,-122.390997,37.787072,California,Active,07/08/2026 12:00:00 AM,Contemporary,"Bay, Bay Bridge, San Francisco, City Lights",2002,94105,2401,,,,0
300 3rd Street,2,0,2,1387,San Francisco,San Francisco,110,12/01/2026 12:00:00 AM,0,,,TRUE,1241,0,,,1498500,05/01/2026 12:00:00 AM,1.124,48941,0,SF426126984,05/01/2026 12:00:00 AM,1598000,3751-351,Residential,-122.39903,37.783208,California,Active,05/01/2026 12:00:00 AM,"Custom, Art Deco, Luxury","Bay, Bridge(s), City",1990,94107,1101,,,,0
110 Channel Street,2,0,2,1183,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1041,0,,,1498000,08/27/2026 12:00:00 AM,1.143,49773,0,SF426148018,08/27/2026 12:00:00 AM,1498000,8715-252,Residential,-122.391012,37.774619,California,Active,08/27/2026 12:00:00 AM,Luxury,Garden/Greenbelt,2017,94158,320,,,,0
1835 Franklin Street,2,0,2,1500,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,2122,0,,,1495000,09/14/2026 12:00:00 AM,0.191,8300,0,SF426155545,09/14/2026 12:00:00 AM,1495000,0624-030,Residential,-122.42458,37.791587,California,Active,09/14/2026 12:00:00 AM,Other,,1965,94109,402,,,,0
435 China Basin Street,2,0,2,0,San Francisco,San Francisco,1,01/18/2027 12:00:00 AM,0,,"Club House, Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Other, Barbecue Area, Pool, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1335,0,,,1495000,08/19/2026 12:00:00 AM,2.821,122891,0,SF426148075,08/19/2026 12:00:00 AM,1495000,8720-278,Residential,-122.388573,37.771886,California,Active,08/19/2026 12:00:00 AM,Contemporary,"City, San Francisco, City Lights, Downtown",2012,94158,529,,,,0
3380 22nd Street,1,0,3,1410,San Francisco,San Francisco,6,01/26/2027 12:00:00 AM,1,,,TRUE,555,0,(415) 235-3722,,1495000,08/13/2026 12:00:00 AM,0.071,3100,0,SF426154263,08/13/2026 12:00:00 AM,1495000,3617-116,Residential,-122.422692,37.755404,California,Active,08/13/2026 12:00:00 AM,"Edwardian, Victorian",,1900,94110,,,,,0
3665 17th Street,1,0,2,1615,San Francisco,San Francisco,13,11/21/2026 12:00:00 AM,2,,,TRUE,404,1,,,1495000,08/06/2026 12:00:00 AM,0.057,2484,0,SF426152590,08/06/2026 12:00:00 AM,1495000,3579-035,Residential,-122.427649,37.762716,California,Active,08/06/2026 12:00:00 AM,"Victorian, Flat/Low Pitch",Garden/Greenbelt,1906,94114,,,,,1
73 Sumner Street,2,0,3,1742,San Francisco,San Francisco,40,12/31/2026 12:00:00 AM,0,,,TRUE,1234,0,,,1495000,07/10/2026 12:00:00 AM,0.137,5970,0,SF426144828,07/10/2026 12:00:00 AM,1495000,3730-162,Residential,-122.41009,37.776115,California,Active,07/10/2026 12:00:00 AM,,,2002,94103,101,,,,0
751 Spruce Street,2,0,4,1594,San Francisco,San Francisco,53,05/08/2027 12:00:00 AM,0,,,TRUE,325,1,,,1495000,06/27/2026 12:00:00 AM,0.059,2575,0,SF426141418,06/27/2026 12:00:00 AM,1495000,1087-037,Residential,-122.453273,37.780977,California,Active,06/27/2026 12:00:00 AM,,City,1908,94118,,,,,0
900 North Point Street,2,1,2,1314,San Francisco,San Francisco,111,12/31/2026 12:00:00 AM,1,,"Club House, Gym/ Exercise Facility, Roof Deck,",TRUE,6896,1,,,1495000,04/30/2026 12:00:00 AM,,0,0,SF426126397,04/30/2026 12:00:00 AM,1495000,0452-T052,Residential,-122.423012,37.805831,California,Active,04/30/2026 12:00:00 AM,"Luxury, Traditional","Bay, Hills, City, Panoramic, Water, City Lights",1964,94109,411,,,,0
1880 Steiner Street,2,0,2,1569,San Francisco,San Francisco,0,09/25/2026 12:00:00 AM,0,,,TRUE,1205,1,,,1488000,08/19/2026 12:00:00 AM,0.407,17706,0,SF426154521,08/19/2026 12:00:00 AM,1488000,0678-152,Residential,-122.434603,37.78671,California,Active,08/19/2026 12:00:00 AM,Contemporary,,1999,94115,401,,,,4
200 Brannan Street,1,1,1,1645,San Francisco,San Francisco,1,12/31/2026 12:00:00 AM,0,,Gym/ Exercise Facility,TRUE,1128,1,,,1475000,08/19/2026 12:00:00 AM,1.674,72899,0,SF426097941,08/19/2026 12:00:00 AM,1475000,3774-271,Residential,-122.390316,37.783618,California,Active,08/19/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech",,2004,94107,130,,,,0
1133 Church Street,1,0,3,995,San Francisco,San Francisco,9,10/30/2026 12:00:00 AM,0,,,TRUE,300,0,,,1450000,08/10/2026 12:00:00 AM,0.043,1875,0,SF426131908,08/10/2026 12:00:00 AM,1450000,3650-057,Residential,-122.427324,37.752724,California,Active,08/10/2026 12:00:00 AM,"Edwardian, Luxury, Traditional, Victorian, Flat/Low Pitch",,1906,94114,,,,,0
181 Fremont Street,1,0,1,564,San Francisco,San Francisco,36,10/31/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility",TRUE,3618,0,(415) 282-0888,,1450000,07/14/2026 12:00:00 AM,0.352,15312,0,SF426135304,07/14/2026 12:00:00 AM,1450000,3719-458,Residential,-122.395453,37.789653,California,Active,07/14/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","San Francisco, City Lights, Downtown",2018,94105,54-G,,,,0
488 Folsom Street,1,1,1,987,San Francisco,San Francisco,40,11/30/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck",TRUE,2231,0,,,1450000,07/10/2026 12:00:00 AM,,0,0,SF426139114,07/10/2026 12:00:00 AM,1450000,3737-156,Residential,-122.39456,37.787745,California,Active,07/10/2026 12:00:00 AM,"Luxury, Modern/High Tech","Panoramic, San Francisco, Twin Peaks, City Lights, Downtown",2019,94105,5004,,,,0
280 Spear Street,1,0,1,787,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,1350,0,(415) 466-0520,,1450000,12/30/2026 12:00:00 AM,1.26,54884,0,SF426098096,12/30/2026 12:00:00 AM,1450000,3740-333,Residential,-122.391683,37.790006,California,Active,12/30/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, City, Bay Bridge, San Francisco, Downtown",2020,94105,24F,,,,0
1637 18th Street,2,0,2,1150,San Francisco,San Francisco,,12/25/2026 12:00:00 AM,0,,,TRUE,1113,0,,,1425000,09/08/2026 12:00:00 AM,1.055,45942,0,SF426143998,09/08/2026 12:00:00 AM,1425000,4034-055,Residential,-122.398928,37.76233,California,Active,09/08/2026 12:00:00 AM,,,1995,94107,,,,,0
765 Market Street,1,0,1,1004,San Francisco,San Francisco,262,12/31/2026 12:00:00 AM,,,"Pool, , Sauna/ Spa/ Hot Tub",TRUE,2999,2,(415) 633-3466,,1420000,11/30/2025 12:00:00 AM,1.381,60150,0,CRPW25267774,,1420000,3706168,Residential,-122.404552,37.78635,California,Active,11/30/2025 12:00:00 AM,,City Lights,2001,94103,27B,,,,1
184 5th Avenue,2,0,2,1004,San Francisco,San Francisco,28,10/31/2026 12:00:00 AM,,,,TRUE,430,1,,,1400000,07/22/2026 12:00:00 AM,,,0,ML82055047,07/22/2026 8:24:04 AM,1400000,1364-073,Residential,-122.463342,37.785369,California,Active,07/22/2026 8:24:04 AM,,,1921,94118,,Owner,,,1
1501 Greenwich Street,2,0,2,1048,San Francisco,San Francisco,,01/04/2027 12:00:00 AM,0,,,TRUE,1227,0,,,1400000,01/01/2027 12:00:00 AM,0.279,12161,0,SF426148358,01/01/2027 12:00:00 AM,1400000,0522-022,Residential,-122.424697,37.800219,California,Active,01/01/2027 12:00:00 AM,,Garden/Greenbelt,2008,94123,101,,,,0
